Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
2000,Zone 4 - Central,F,0 to 9,23527,2628,11.17
2000,Zone 4 - Central,F,10 to 19,29797,3663,12.29
2000,Zone 4 - Central,F,20 to 29,30198,2558,8.47
2000,Zone 4 - Central,F,30 to 39,34639,2275,6.57
2000,Zone 4 - Central,F,40 to 49,32980,2352,7.13
2000,Zone 4 - Central,F,50 to 59,24173,1875,7.76
2000,Zone 4 - Central,F,60 to 69,14990,1048,6.99
2000,Zone 4 - Central,F,70 to 79,12052,806,6.69
2000,Zone 4 - Central,F,80 +,8411,445,5.29
2000,Zone 4 - Central,M,0 to 9,23713,3796,16.01
2000,Zone 4 - Central,M,10 to 19,30735,4392,14.29
2000,Zone 4 - Central,M,20 to 29,28067,1466,5.22
2000,Zone 4 - Central,M,30 to 39,31448,1133,3.6
2000,Zone 4 - Central,M,40 to 49,30424,1054,3.46
2000,Zone 4 - Central,M,50 to 59,22981,836,3.64
2000,Zone 4 - Central,M,60 to 69,14044,615,4.38
2000,Zone 4 - Central,M,70 to 79,8889,398,4.48
2000,Zone 4 - Central,M,80 +,4006,189,4.72
2000,Zone 3 - Eastern,F,0 to 9,8415,953,11.33
2000,Zone 3 - Eastern,F,10 to 19,10929,1002,9.17
2000,Zone 3 - Eastern,F,20 to 29,10667,648,6.07
2000,Zone 3 - Eastern,F,30 to 39,12657,571,4.51
2000,Zone 3 - Eastern,F,40 to 49,15258,749,4.91
2000,Zone 3 - Eastern,F,50 to 59,12308,671,5.45
2000,Zone 3 - Eastern,F,60 to 69,8521,451,5.29
2000,Zone 3 - Eastern,F,70 to 79,6858,345,5.03
2000,Zone 3 - Eastern,F,80 +,5643,251,4.45
2000,Zone 3 - Eastern,M,0 to 9,8802,1377,15.64
2000,Zone 3 - Eastern,M,10 to 19,11733,1379,11.75
2000,Zone 3 - Eastern,M,20 to 29,10920,452,4.14
2000,Zone 3 - Eastern,M,30 to 39,12412,293,2.36
2000,Zone 3 - Eastern,M,40 to 49,15102,387,2.56
2000,Zone 3 - Eastern,M,50 to 59,12773,340,2.66
2000,Zone 3 - Eastern,M,60 to 69,8292,280,3.38
2000,Zone 3 - Eastern,M,70 to 79,5414,205,3.79
2000,Zone 3 - Eastern,M,80 +,2853,110,3.86
2000,Zone 2 - Northern,F,0 to 9,7724,836,10.82
2000,Zone 2 - Northern,F,10 to 19,9531,1016,10.66
2000,Zone 2 - Northern,F,20 to 29,9980,768,7.7
2000,Zone 2 - Northern,F,30 to 39,11943,676,5.66
2000,Zone 2 - Northern,F,40 to 49,12834,753,5.87
2000,Zone 2 - Northern,F,50 to 59,10147,636,6.27
2000,Zone 2 - Northern,F,60 to 69,6797,406,5.97
2000,Zone 2 - Northern,F,70 to 79,5746,303,5.27
2000,Zone 2 - Northern,F,80 +,4572,226,4.94
2000,Zone 2 - Northern,M,0 to 9,8357,1237,14.8
2000,Zone 2 - Northern,M,10 to 19,10098,1173,11.62
2000,Zone 2 - Northern,M,20 to 29,9938,438,4.41
2000,Zone 2 - Northern,M,30 to 39,11645,357,3.07
2000,Zone 2 - Northern,M,40 to 49,12670,378,2.98
2000,Zone 2 - Northern,M,50 to 59,10322,290,2.81
2000,Zone 2 - Northern,M,60 to 69,6578,213,3.24
2000,Zone 2 - Northern,M,70 to 79,4444,187,4.21
2000,Zone 2 - Northern,M,80 +,2260,101,4.47
2000,Zone 1 - Western,F,0 to 9,9416,953,10.12
2000,Zone 1 - Western,F,10 to 19,11922,1205,10.11
2000,Zone 1 - Western,F,20 to 29,11986,868,7.24
2000,Zone 1 - Western,F,30 to 39,15866,936,5.9
2000,Zone 1 - Western,F,40 to 49,17474,1003,5.74
2000,Zone 1 - Western,F,50 to 59,14376,885,6.16
